StartTimestamp,EndTimestamp,ErrorCount,RRCount,mean_nni,median_nni,range_nni,sdnn,sdsd,rmssd,nni_50,pnni_50,nni_20,pnni_20,cvsd,cvnni,mean_hr,min_hr,max_hr,std_hr,power_vlf,power_lf,power_hf,total_power,lf_hf_ratio,csi,cvi,modified_csi,sampen
2024-12-14 10:49:15.885,2024-12-14 10:51:14.591,1,119,762.1209585044918,759.493670886076,135.65891472868225,36.600891118241975,8.781225717076541,8.744290047035692,0,0.0,2,1.694915254237288,0.011473624953438614,0.04802504210101218,78.90756302521008,72.0,86.0,3.7821875040655266,5.775727685038207,0.4915563924022212,0.12420009272716462,6.391484170167593,3.957777982356608,8.275972136014897,5.765441214905735,425.28315621927965,1.132484298900837
2024-12-14 10:51:15.592,2024-12-14 10:53:14.440,0,120,764.7720389569554,759.493670886076,163.2522407170294,41.34078872832824,7.932164521910249,7.919586383501416,0,0.0,2,1.680672268907563,0.010355486314984333,0.05405635486453118,78.68333333333334,71.0,88.0,4.270247534464746,9.728600506057276,0.9824932035126412,0.0770011655491496,10.788094875119068,12.759458853717208,10.375504244187269,5.7881523901938285,603.8028245841142,1.0503122004702603
2024-12-14 10:53:15.441,2024-12-14 10:55:14.157,0,120,774.7706801775397,769.2307692307693,200.53475935828874,46.46210014364734,9.18334614430743,9.144679251960694,0,0.0,6,5.042016806722689,0.011803078621748024,0.05996884153256869,77.71666666666667,68.0,88.0,4.625801467387708,2.062265120362489,2.16955657299208,0.07924102475112185,4.31106271810569,27.37920893635799,10.069239228706707,6.051121258933806,658.3840099506813,0.46395930441422495
2024-12-14 10:55:15.154,2024-12-14 10:57:13.978,0,120,755.1281627244273,759.493670886076,102.32558139534888,24.608494071729098,7.262527168570494,7.239551371592828,0,0.0,1,0.8403361344537815,0.009587182320777505,0.03258849992158166,79.54166666666667,75.0,86.0,2.63108704675825,3.0917766205596324,2.067941032909936,0.08669534904898159,5.24641300251855,23.852963920147317,6.702653725707767,5.174812072102794,230.70995735037098,1.023884929687525
2024-12-14 10:57:14.973,2024-12-14 10:59:13.674,0,120,752.3473516333888,750.0,85.71428571428567,18.879686973033596,7.531219639010406,7.5160240684502195,0,0.0,0,0.0,0.009990098392893262,0.02509437553285025,79.8,75.0,84.0,1.994108971003163,0.3569542847045208,2.4779539152454295,0.12395780905759839,2.958866009007549,19.990301007127517,4.912974478621506,4.936846376646411,128.54030671548864,1.0752932820688565
2024-12-14 10:59:14.679,2024-12-14 11:01:13.119,0,120,755.0330884408752,759.493670886076,124.2433896145269,30.9597581173242,7.92230689438504,7.888949664568227,0,0.0,2,1.680672268907563,0.0104484820405139,0.04100450508898271,79.6,73.0,86.0,3.2807049867496514,6.656665784274745,1.4750281651867307,0.09827390352360056,8.229967852985075,15.00935764531325,7.75160759133076,5.49411794834931,336.6047366378006,1.0866255196964654
2024-12-14 11:01:15.108,2024-12-14 11:03:13.702,0,120,760.7589424858467,759.493670886076,87.91924454575064,20.5017123683712,6.520887353198559,6.507734572905752,0,0.0,0,0.0,0.008554266285245572,0.026949025799657453,78.925,74.0,83.0,2.1110453820422754,0.6915250643608528,1.6694651577651125,0.0714617046686108,2.432451926794576,23.36167553666568,6.207987439111518,4.882710506568995,177.7024269425423,0.8512914759186737
2024-12-14 11:03:15.706,2024-12-14 11:05:14.339,0,120,746.274697141815,750.0,81.54636061612814,22.838338056377125,5.8260030607056255,5.805943152361211,0,0.0,0,0.0,0.007779900852323691,0.03060312528864575,80.475,77.0,86.0,2.4935631419430995,2.3439370050760315,0.8972452696071653,0.04432423194418125,3.285506506627378,20.242770833278993,7.776103506002231,4.882570565246562,249.10346933827478,0.7586738440704105
2024-12-14 11:05:15.334,2024-12-14 11:07:13.902,0,120,732.7720026849272,731.7073170731708,81.54636061612814,18.71349581516778,6.051492471916613,6.026467743508919,0,0.0,0,0.0,0.008224205784920172,0.025537951431823594,81.93333333333334,77.0,86.0,2.073171294342625,0.53255012226144,1.002249380092799,0.043060077375788285,1.5778595797300274,23.27560564617892,6.1033745362405405,4.71630450270727,159.39971568161673,0.9868692129226517
2024-12-14 11:07:14.912,2024-12-14 11:09:13.570,0,120,756.9136377032388,750.0,104.92845786963437,33.6511272164155,7.932228968990024,7.9051213425590925,0,0.0,3,2.5210084033613445,0.010443888111920152,0.04445834444009452,79.425,74.0,85.0,3.5353259272328343,3.807304213835777,0.9070108940057041,0.049938865542956075,4.764253973384437,18.16242487978662,8.425522589356836,5.579986475624763,398.17495411515654,0.353113622743475
2024-12-14 11:09:14.576,2024-12-14 11:11:13.161,0,120,724.229680053499,722.8915662650602,105.06347584999276,24.649056955798052,9.608107892319513,9.567652521511297,1,0.8403361344537815,2,1.680672268907563,0.013210798707952057,0.03403486163944181,82.94166666666666,77.0,89.0,2.817400414928488,1.860773990346336,2.307986214117552,0.22409972075935164,4.39285992522324,10.29892498882661,5.032494342291629,5.447983202017202,172.06378179319717,0.9638796946979529
2024-12-14 11:11:14.163,2024-12-14 11:13:12.716,0,120,721.7796915240981,736.2240289069557,151.1758118701008,43.92614910461037,5.937596545742578,5.917204869609334,0,0.0,0,0.0,0.00819807614303287,0.060858111720844675,83.44166666666666,76.0,94.0,5.206324262368795,10.71020465688736,0.37227298948664744,0.06864787495130258,11.15112552132531,5.422935374922099,14.762104211240224,5.561525049316873,914.9391687098889,0.49310653867318893
